qa_id,hard_type,route_expected,route_alt,question,expected_behavior,sentiment,provenance,note
300001,경계모호,PRODUCT_INFO,ORDER_PLACE,낱개로도 구매 가능한가요?,두 라우트에 모두 해당한다. 확신도를 임계값 미만으로 낮춰 이관한다.,m,합성,저작 시 유형 지정
300002,경계모호,PRODUCT_INFO,ORDER_PLACE,팔찌에 달린 참만 따로 파시나요?,구성 문의인지 구매 요청인지 갈린다.,m,합성,저작 시 유형 지정
300003,경계모호,ORDER_PLACE,PRODUCT_INFO,세트에서 하나만 살 수 있어요?,구매 의사와 구성 확인이 겹친다.,m,합성,저작 시 유형 지정
300004,경계모호,PRODUCT_INFO,ORDER_PLACE,이 색상은 지금도 살 수 있나요?,재고 확인인지 주문 요청인지 불분명하다.,m,합성,저작 시 유형 지정
300005,경계모호,ORDER_PLACE,PRODUCT_INFO,두 개 사면 배송비 빠지나요?,구매 수량과 배송 정책이 함께 걸린다.,m,합성,저작 시 유형 지정
300006,경계모호,PRODUCT_INFO,ORDER_PLACE,단품으로도 나오나요?,판매 형태 확인과 구매 요청의 경계다.,m,합성,저작 시 유형 지정
300007,경계모호,ORDER_PLACE,PRODUCT_INFO,라지 있으면 그걸로 할게요.,재고 확인이 선행되어야 하는 구매 요청이다.,m,합성,저작 시 유형 지정
300008,경계모호,PRODUCT_INFO,ORDER_PLACE,이 구성 그대로만 판매되나요?,구성 문의이면서 구매 조건 확인이다.,m,합성,저작 시 유형 지정
300009,경계모호,ORDER_PLACE,PRODUCT_INFO,재고 있는 색으로 아무거나 주세요.,재고 조회 후 주문이 이어지는 복합 요청이다.,m,합성,저작 시 유형 지정
300010,경계모호,PRODUCT_INFO,ORDER_PLACE,추가 구매하면 할인이 있나요?,가격 정책 문의이자 구매 의사다.,m,합성,저작 시 유형 지정
300011,경계모호,ORDER_PLACE,PRODUCT_INFO,사이즈만 확인되면 바로 결제할게요.,조회와 주문이 한 문장에 있다.,m,합성,저작 시 유형 지정
300012,경계모호,PRODUCT_INFO,ORDER_PLACE,이 제품 단종된 건가요 아직 파나요?,단종 여부 확인과 구매 가능 여부가 겹친다.,m,합성,저작 시 유형 지정
300013,경계모호,ORDER_PLACE,PRODUCT_INFO,같은 걸로 하나 더 되나요?,재구매 요청인지 재고 확인인지 갈린다.,m,합성,저작 시 유형 지정
300014,경계모호,PRODUCT_INFO,ORDER_PLACE,이건 세트로만 판매하는 상품인가요?,판매 단위 확인이 구매 조건과 겹친다.,m,합성,저작 시 유형 지정
300015,경계모호,ORDER_PLACE,PRODUCT_INFO,색상 두 개 중에 남은 걸로 주세요.,재고 조회 결과에 따라 주문이 정해진다.,m,합성,저작 시 유형 지정
